Land;Stadt;Kategorie;Stadtteil;Jahr;ledig;verheiratet;verwitwet;geschieden;lat;lon
de-sh;Kiel;Bevoelkerung;Moorsee;31_12_2019;872;1021;88;113;54.264576;10.150361
de-sh;Kiel;Bevoelkerung;Wellsee;31_12_2019;2440;2260;213;437;54.2907296;10.1622402
de-sh;Kiel;Bevoelkerung;Roenne;31_12_2019;158;228;27;23;;
de-sh;Kiel;Bevoelkerung;Altstadt;31_12_2018;544;289;93;80;54.3232694;10.1394445
de-sh;Kiel;Bevoelkerung;Vorstadt;31_12_2018;780;331;93;109;54.3196228;10.1315252
de-sh;Kiel;Bevoelkerung;Exerzierplatz;31_12_2018;4224;1360;422;501;54.3209013;10.1273377
de-sh;Kiel;Bevoelkerung;Damperhof;31_12_2018;2240;692;174;271;54.3265337;10.1336102
de-sh;Kiel;Bevoelkerung;Brunswik;31_12_2018;4051;1333;415;519;54.3284802;10.1384443
de-sh;Kiel;Bevoelkerung;Duesternbrook;31_12_2018;1584;1224;145;205;;
de-sh;Kiel;Bevoelkerung;Bluecherplatz;31_12_2018;6678;3219;430;890;;
de-sh;Kiel;Bevoelkerung;Wik;31_12_2018;10591;6479;992;1633;54.3569525;10.1303056
de-sh;Kiel;Bevoelkerung;Ravensberg;31_12_2018;8725;2279;354;824;54.3434673;10.13196
de-sh;Kiel;Bevoelkerung;Schreventeich;31_12_2018;7949;2713;478;838;54.3276745;10.1139191
de-sh;Kiel;Bevoelkerung;Suedfriedhof;31_12_2018;10420;3070;762;1135;;
de-sh;Kiel;Bevoelkerung;Gaarden-Ost;31_12_2018;11384;4535;714;2000;54.3115439;10.1466285
de-sh;Kiel;Bevoelkerung;Gaarden-Sued/Kronsburg;31_12_2018;5194;3809;693;1003;;
de-sh;Kiel;Bevoelkerung;Hassee;31_12_2018;6703;3702;719;1216;54.3046465;10.1007406
de-sh;Kiel;Bevoelkerung;Hasseldieksdamm;31_12_2018;1167;1255;189;216;54.3198064;10.0787696
de-sh;Kiel;Bevoelkerung;Ellerbek;31_12_2018;2855;2380;487;641;54.315604;10.165314
de-sh;Kiel;Bevoelkerung;Wellingdorf;31_12_2018;3677;2862;636;851;54.325299;10.1849227
de-sh;Kiel;Bevoelkerung;Holtenau;31_12_2018;2576;2309;406;472;54.3724973;10.1361679
de-sh;Kiel;Bevoelkerung;Pries;31_12_2018;3232;2872;508;810;54.3979145;10.170429
de-sh;Kiel;Bevoelkerung;Friedrichsort;31_12_2018;936;724;199;224;54.393077;10.1790173
de-sh;Kiel;Bevoelkerung;Neumuehlen/Dietrichsdorf;31_12_2018;6353;4296;845;1183;;
de-sh;Kiel;Bevoelkerung;Elmschenhagen;31_12_2018;7524;7202;981;1577;54.2934876;10.184575
de-sh;Kiel;Bevoelkerung;Suchsdorf;31_12_2018;3576;4485;609;669;54.3573804;10.0787571
de-sh;Kiel;Bevoelkerung;Schilksee;31_12_2018;1375;2592;548;458;54.4210463;10.1703279
de-sh;Kiel;Bevoelkerung;Mettenhof;31_12_2018;9659;7501;1247;1601;54.3223529;10.0532291
de-sh;Kiel;Bevoelkerung;Russee;31_12_2018;2610;3528;415;513;54.3016426;10.0665383
de-sh;Kiel;Bevoelkerung;Meimersdorf;31_12_2018;1535;1553;81;157;54.2747652;10.1101233
de-sh;Kiel;Bevoelkerung;Moorsee;31_12_2018;862;1041;84;111;54.264576;10.150361
de-sh;Kiel;Bevoelkerung;Wellsee;31_12_2018;2405;2249;221;427;54.2907296;10.1622402
de-sh;Kiel;Bevoelkerung;Roenne;31_12_2018;150;227;25;23;;
de-sh;Kiel;Bevoelkerung;Altstadt;31_12_2017;471;208;94;62;54.3232694;10.1394445
de-sh;Kiel;Bevoelkerung;Vorstadt;31_12_2017;785;333;89;111;54.3196228;10.1315252
de-sh;Kiel;Bevoelkerung;Exerzierplatz;31_12_2017;4238;1334;433;506;54.3209013;10.1273377
de-sh;Kiel;Bevoelkerung;Damperhof;31_12_2017;2156;714;181;274;54.3265337;10.1336102
de-sh;Kiel;Bevoelkerung;Brunswik;31_12_2017;4036;1338;432;539;54.3284802;10.1384443
de-sh;Kiel;Bevoelkerung;Duesternbrook;31_12_2017;1645;1242;146;206;;
de-sh;Kiel;Bevoelkerung;Bluecherplatz;31_12_2017;6692;3186;449;894;;
de-sh;Kiel;Bevoelkerung;Wik;31_12_2017;10657;6409;980;1610;54.3569525;10.1303056
de-sh;Kiel;Bevoelkerung;Ravensberg;31_12_2017;8929;2284;380;830;54.3434673;10.13196
de-sh;Kiel;Bevoelkerung;Schreventeich;31_12_2017;7851;2718;495;824;54.3276745;10.1139191
de-sh;Kiel;Bevoelkerung;Suedfriedhof;31_12_2017;10355;3095;770;1116;;
de-sh;Kiel;Bevoelkerung;Gaarden-Ost;31_12_2017;11549;4535;714;2080;54.3115439;10.1466285
de-sh;Kiel;Bevoelkerung;Gaarden-Sued/Kronsburg;31_12_2017;5246;3801;689;1028;;
de-sh;Kiel;Bevoelkerung;Hassee;31_12_2017;6720;3671;728;1228;54.3046465;10.1007406
de-sh;Kiel;Bevoelkerung;Hasseldieksdamm;31_12_2017;1184;1250;194;224;54.3198064;10.0787696
de-sh;Kiel;Bevoelkerung;Ellerbek;31_12_2017;2794;2384;490;653;54.315604;10.165314
de-sh;Kiel;Bevoelkerung;Wellingdorf;31_12_2017;3655;2886;635;856;54.325299;10.1849227
de-sh;Kiel;Bevoelkerung;Holtenau;31_12_2017;2452;2344;415;491;54.3724973;10.1361679
de-sh;Kiel;Bevoelkerung;Pries;31_12_2017;3163;2951;514;793;54.3979145;10.170429
de-sh;Kiel;Bevoelkerung;Friedrichsort;31_12_2017;908;746;197;241;54.393077;10.1790173
de-sh;Kiel;Bevoelkerung;Neumuehlen/Dietrichsdorf;31_12_2017;6335;4300;868;1228;;
de-sh;Kiel;Bevoelkerung;Elmschenhagen;31_12_2017;7434;7212;988;1586;54.2934876;10.184575
de-sh;Kiel;Bevoelkerung;Suchsdorf;31_12_2017;3592;4502;616;686;54.3573804;10.0787571
de-sh;Kiel;Bevoelkerung;Schilksee;31_12_2017;1429;2586;548;464;54.4210463;10.1703279
de-sh;Kiel;Bevoelkerung;Mettenhof;31_12_2017;9600;7564;1239;1628;54.3223529;10.0532291
de-sh;Kiel;Bevoelkerung;Russee;31_12_2017;2614;3524;417;521;54.3016426;10.0665383
de-sh;Kiel;Bevoelkerung;Meimersdorf;31_12_2017;1555;1562;84;158;54.2747652;10.1101233
de-sh;Kiel;Bevoelkerung;Moorsee;31_12_2017;868;1029;89;108;54.264576;10.150361
de-sh;Kiel;Bevoelkerung;Wellsee;31_12_2017;2423;2234;231;437;54.2907296;10.1622402
de-sh;Kiel;Bevoelkerung;Roenne;31_12_2017;146;226;28;25;;
de-sh;Kiel;Bevoelkerung;Altstadt;31_12_2016;424;180;92;61;54.3232694;10.1394445
