Land;Stadt;Kategorie;Jahr;Stadtteil;Tuerkei;Polen;Irak;Russland;Ukraine;Syrien;Bulgarien;lat;lon
de-sh;Kiel;Bevoelkerung;2017;Schilksee  ;8;28.0;6;23;5;26;4;54.4210463;10.1703279
de-sh;Kiel;Bevoelkerung;2017;Mettenhof ;490;438.0;666;217;100;988;8;;
de-sh;Kiel;Bevoelkerung;2017;Russee    ;39;34.0;13;14;7;37;1;54.3016426;10.0665383
de-sh;Kiel;Bevoelkerung;2017;Meimersdorf  ;35;21.0;6;5;7;6;4;54.2747652;10.1101233
de-sh;Kiel;Bevoelkerung;2017;Moorsee    ;34;20.0;11;4;2;30;1;54.264576;10.150361
de-sh;Kiel;Bevoelkerung;2017;Wellsee    ;61;143.0;38;25;7;8;7;54.2907296;10.1622402
de-sh;Kiel;Bevoelkerung;2017;Roenne     ;0;0.0;0;0;0;0;0;;
de-sh;Kiel;Bevoelkerung;2016;Altstadt        ;3;9.0;6;3;0;1;13;;
de-sh;Kiel;Bevoelkerung;2016;Vorstadt      ;16;8.0;12;7;1;4;0;54.3196228;10.1315252
de-sh;Kiel;Bevoelkerung;2016;Exerzierplatz   ;42;36.0;37;13;11;47;20;;
de-sh;Kiel;Bevoelkerung;2016;Damperhof  ;15;22.0;2;3;2;26;8;54.3265337;10.1336102
de-sh;Kiel;Bevoelkerung;2016;Brunswik    ;33;36.0;15;16;7;30;2;54.3284802;10.1384443
de-sh;Kiel;Bevoelkerung;2016;Duesternbrook  ;10;16.0;4;14;7;15;0;;
de-sh;Kiel;Bevoelkerung;2016;Bluecherplatz   ;33;29.0;0;12;8;31;3;;
de-sh;Kiel;Bevoelkerung;2016;Wik             ;142;106.0;124;120;41;335;23;54.3569525;10.1303056
de-sh;Kiel;Bevoelkerung;2016;Ravensberg;54;70.0;28;41;19;55;10;54.3434673;10.13196
de-sh;Kiel;Bevoelkerung;2016;Schreventeich;40;43.0;26;30;11;14;5;54.3276745;10.1139191
de-sh;Kiel;Bevoelkerung;2016;Suedfriedhof  ;179;102.0;47;58;32;163;26;;
de-sh;Kiel;Bevoelkerung;2016;Gaarden-Ost ;1456;346.0;457;150;115;913;1028;54.3115439;10.1466285
de-sh;Kiel;Bevoelkerung;2016;Gaarden-Sued/Kronsburg;173;105.0;94;31;26;158;113;;
de-sh;Kiel;Bevoelkerung;2016;Hassee    ;168;146.0;45;27;9;137;28;54.3046465;10.1007406
de-sh;Kiel;Bevoelkerung;2016;Hasseldieksdamm;12;18.0;1;8;4;3;3;54.3198064;10.0787696
de-sh;Kiel;Bevoelkerung;2016;Ellerbek     ;252;74.0;36;46;13;109;36;54.315604;10.165314
de-sh;Kiel;Bevoelkerung;2016;Wellingdorf  ;282;107.0;22;29;18;117;42;54.325299;10.1849227
de-sh;Kiel;Bevoelkerung;2016;Holtenau   ;24;21.0;183;7;8;354;2;54.3724973;10.1361679
de-sh;Kiel;Bevoelkerung;2016;Pries        ;126;48.0;41;32;17;109;10;54.3979145;10.170429
de-sh;Kiel;Bevoelkerung;2016;Friedrichsort   ;82;26.0;5;6;1;15;0;54.393077;10.1790173
de-sh;Kiel;Bevoelkerung;2016;Neumuehlen/Dietrichsdorf;484;87.0;92;46;29;305;59;;
de-sh;Kiel;Bevoelkerung;2016;Elmschenhagen;233;147.0;69;21;18;188;28;54.2934876;10.184575
de-sh;Kiel;Bevoelkerung;2016;Suchsdorf ;21;79.0;21;11;6;21;9;;
de-sh;Kiel;Bevoelkerung;2016;Schilksee  ;9;28.0;12;20;5;62;1;54.4210463;10.1703279
de-sh;Kiel;Bevoelkerung;2016;Mettenhof ;491;430.0;615;220;103;739;8;;
de-sh;Kiel;Bevoelkerung;2016;Russee    ;39;32.0;22;11;7;45;1;54.3016426;10.0665383
de-sh;Kiel;Bevoelkerung;2016;Meimersdorf  ;35;23.0;6;6;6;5;2;54.2747652;10.1101233
de-sh;Kiel;Bevoelkerung;2016;Moorsee    ;33;10.0;7;4;3;28;1;54.264576;10.150361
de-sh;Kiel;Bevoelkerung;2016;Wellsee    ;55;126.0;33;23;6;4;6;54.2907296;10.1622402
de-sh;Kiel;Bevoelkerung;2016;Roenne     ;0;1.0;0;0;0;0;0;;
de-sh;Kiel;Bevoelkerung;2015;Altstadt        ;4;6.0;2;3;-;-;18;;
de-sh;Kiel;Bevoelkerung;2015;Vorstadt      ;15;18.0;26;7;1;29;-;54.3196228;10.1315252
de-sh;Kiel;Bevoelkerung;2015;Exerzierplatz   ;45;37.0;21;13;10;36;9;;
de-sh;Kiel;Bevoelkerung;2015;Damperhof  ;17;15.0;3;5;2;23;6;54.3265337;10.1336102
de-sh;Kiel;Bevoelkerung;2015;Brunswik    ;33;36.0;10;16;6;26;5;54.3284802;10.1384443
