Land;Stadt;Kategorie;Jahr;Stadtteil;evangelisch;katholisch;sonstige/ohne;lat;lon
de-sh;Kiel;Bevoelkerung;2017;Suchsdorf;3984;643;4769;;
de-sh;Kiel;Bevoelkerung;2017;Schilksee;1934;364;2729;54.4210463;10.1703279
de-sh;Kiel;Bevoelkerung;2017;Mettenhof;4830;1996;13205;;
de-sh;Kiel;Bevoelkerung;2017;Russee;2714;462;3900;54.3016426;10.0665383
de-sh;Kiel;Bevoelkerung;2017;Meimersdorf;1158;183;2018;54.2747652;10.1101233
de-sh;Kiel;Bevoelkerung;2017;Moorsee;706;136;1252;54.264576;10.150361
de-sh;Kiel;Bevoelkerung;2017;Wellsee;1797;401;3127;54.2907296;10.1622402
de-sh;Kiel;Bevoelkerung;2017;Roenne;200;19;206;;
de-sh;Kiel;Bevoelkerung;2016;Altstadt;304;69;384;;
de-sh;Kiel;Bevoelkerung;2016;Vorstadt;458;90;727;54.3196228;10.1315252
de-sh;Kiel;Bevoelkerung;2016;Exerzierplatz;2623;528;3329;;
de-sh;Kiel;Bevoelkerung;2016;Damperhof;1303;270;1776;54.3265337;10.1336102
de-sh;Kiel;Bevoelkerung;2016;Brunswik;2650;483;3287;54.3284802;10.1384443
de-sh;Kiel;Bevoelkerung;2016;Duesternbrook;1284;317;1602;;
de-sh;Kiel;Bevoelkerung;2016;Bluecherplatz;4595;863;5767;;
de-sh;Kiel;Bevoelkerung;2016;Wik;7135;1409;11193;54.3569525;10.1303056
de-sh;Kiel;Bevoelkerung;2016;Ravensberg;5026;1056;6304;54.3434673;10.13196
de-sh;Kiel;Bevoelkerung;2016;Schreventeich;5221;949;5737;54.3276745;10.1139191
de-sh;Kiel;Bevoelkerung;2016;Suedfriedhof;6225;1161;7896;;
de-sh;Kiel;Bevoelkerung;2016;Gaarden-Ost;4343;1117;13446;54.3115439;10.1466285
de-sh;Kiel;Bevoelkerung;2016;Gaarden-Sued/Kronsburg;3929;668;6090;;
de-sh;Kiel;Bevoelkerung;2016;Hassee;5015;776;6515;54.3046465;10.1007406
de-sh;Kiel;Bevoelkerung;2016;Hasseldieksdamm;1222;209;1422;54.3198064;10.0787696
de-sh;Kiel;Bevoelkerung;2016;Ellerbek;2053;390;3783;54.315604;10.165314
de-sh;Kiel;Bevoelkerung;2016;Wellingdorf;2954;513;4616;54.325299;10.1849227
de-sh;Kiel;Bevoelkerung;2016;Holtenau;2292;336;3259;54.3724973;10.1361679
de-sh;Kiel;Bevoelkerung;2016;Pries;2934;426;4133;54.3979145;10.170429
de-sh;Kiel;Bevoelkerung;2016;Friedrichsort;786;131;1179;54.393077;10.1790173
de-sh;Kiel;Bevoelkerung;2016;Neumuehlen/Dietrichsdorf;4762;710;7159;;
de-sh;Kiel;Bevoelkerung;2016;Elmschenhagen;6622;978;9596;54.2934876;10.184575
de-sh;Kiel;Bevoelkerung;2016;Suchsdorf;4058;670;4686;;
de-sh;Kiel;Bevoelkerung;2016;Schilksee;2010;360;2727;54.4210463;10.1703279
de-sh;Kiel;Bevoelkerung;2016;Mettenhof;5007;2063;12889;;
de-sh;Kiel;Bevoelkerung;2016;Russee;2780;477;3856;54.3016426;10.0665383
de-sh;Kiel;Bevoelkerung;2016;Meimersdorf;1152;186;1944;54.2747652;10.1101233
de-sh;Kiel;Bevoelkerung;2016;Moorsee;720;132;1227;54.264576;10.150361
de-sh;Kiel;Bevoelkerung;2016;Wellsee;1814;400;3050;54.2907296;10.1622402
de-sh;Kiel;Bevoelkerung;2016;Roenne;200;17;213;;
de-sh;Kiel;Bevoelkerung;2015;Altstadt;266;56;343;;
de-sh;Kiel;Bevoelkerung;2015;Vorstadt;434;94;777;54.3196228;10.1315252
de-sh;Kiel;Bevoelkerung;2015;Exerzierplatz;2679;521;3197;;
de-sh;Kiel;Bevoelkerung;2015;Damperhof;1301;280;1748;54.3265337;10.1336102
de-sh;Kiel;Bevoelkerung;2015;Brunswik;2735;487;3266;54.3284802;10.1384443
de-sh;Kiel;Bevoelkerung;2015;Duesternbrook;1275;318;1599;;
de-sh;Kiel;Bevoelkerung;2015;Bluecherplatz;4650;896;5699;;
de-sh;Kiel;Bevoelkerung;2015;Wik;7177;1425;10715;54.3569525;10.1303056
de-sh;Kiel;Bevoelkerung;2015;Ravensberg;5076;1054;6116;54.3434673;10.13196
de-sh;Kiel;Bevoelkerung;2015;Schreventeich;5314;949;5635;54.3276745;10.1139191
de-sh;Kiel;Bevoelkerung;2015;Suedfriedhof;6271;1167;7664;;
de-sh;Kiel;Bevoelkerung;2015;Gaarden-Ost;4531;1106;12677;54.3115439;10.1466285
de-sh;Kiel;Bevoelkerung;2015;Gaarden-Sued/Kronsburg;3933;685;5969;;
de-sh;Kiel;Bevoelkerung;2015;Hassee;5108;776;6450;54.3046465;10.1007406
de-sh;Kiel;Bevoelkerung;2015;Hasseldieksdamm;1243;208;1387;54.3198064;10.0787696
